id,h-id,topic
543,1.1.1.1,Adding Fractions and Whole Numbers Using Models
539,1.1.1.2,Adding Fractions and Whole Numbers
544,1.1.1.3,Subtracting Fractions and Whole Numbers Using Models
545,1.1.1.4,Subtracting Fractions and Whole Numbers
2440,1.1.2.1,Least Common Multiples
2365,1.1.2.2,Least Common Denominators
2376,1.1.2.3,Comparing Fraction Models Using Common Denominators
4204,1.1.2.4,Comparing Fractions Using Common Denominators
2374,1.1.2.5,Adding Fractions With Unlike Denominators Using Models
2372,1.1.2.6,Subtracting Fractions With Unlike Denominators Using Models
2353,1.1.2.7,Adding Fractions With Unlike Denominators
2357,1.1.2.8,Subtracting Fractions With Unlike Denominators
2354,1.1.3.1,Adding Mixed Numbers With Unlike Denominators
2356,1.1.3.2,Subtracting Mixed Numbers With Unlike Denominators
525,1.1.3.3,Subtracting Mixed Numbers With Unlike Denominators Using Improper Fractions
564,1.1.4.1,Multiplying Unit Fractions by Whole Numbers Using Models
3968,1.1.4.2,Multiplying Fractions by Whole Numbers Using Models
2360,1.1.4.3,Multiplying Fractions by Whole Numbers
2458,1.1.4.5,Strategies to Simplify Whole Number and Fraction Multiplication
2379,1.1.4.6,Multiplying Mixed Numbers by Whole Numbers
565,1.1.4.7,Multiplying Fractions by Unit Fractions Using Models
3079,1.1.4.8,Multiplying Fractions Using Models
2378,1.1.4.9,Multiplying Fractions
567,1.1.4.10,Multiplying Fractions: Word Problems
2459,1.1.4.11,Strategies to Simplify Fraction Multiplication
2380,1.1.4.12,Multiplying Mixed Numbers by Fractions
2381,1.1.4.13,Multiplying Mixed Numbers
3762,1.1.4.14,Multiplying Mixed Numbers: Word Problems
529,1.1.5.1,Dividing Whole Numbers by Unit Fractions Using Models
533,1.1.5.2,Dividing Whole Numbers by Unit Fractions
528,1.1.5.3,Dividing Unit Fractions by Whole Numbers Using Models
530,1.1.5.4,Dividing Unit Fractions by Whole Numbers
2388,1.1.5.5,Reciprocals
2437,1.1.5.6,Dividing Whole Numbers by Fractions Using Models: Whole Number Results
4698,1.1.5.7,Dividing Whole Numbers by Fractions Using Models: Fractional Results
2377,1.1.5.8,Dividing Whole Numbers by Fractions
2436,1.1.5.9,Dividing Fractions by Whole Numbers Using Models
2369,1.1.5.10,Dividing Fractions by Whole Numbers
2438,1.1.5.11,Dividing Fractions Using Models
2382,1.1.5.12,Dividing Fractions
534,1.2.1.1,Introduction to Ratios
553,1.2.1.2,Equivalent Ratios
552,1.2.1.3,Writing Ratios Using Fractions
557,1.2.1.8,Unit Rates
236,1.2.3.1,Units of Length
4196,1.2.3.2,Units of Mass
4197,1.2.3.3,Units of Time
4198,1.2.3.4,Units of Volume
3872,1.2.3.5,Units of Area and Volume
2230,1.2.3.13,Determining Units in Formulas
2231,1.2.3.14,Selecting Units for Rates of Change
2234,1.2.3.15,Degrees of Accuracy
562,1.2.4.1,Understanding Percentages Using Models
2451,1.2.4.2,Converting Between Percentages and Fractions
2452,1.2.4.3,Converting Between Percentages and Decimals
2453,1.2.4.4,Finding Part of a Number Given a Whole and a Percentage
2454,1.2.4.5,Finding Part of a Number Given a Whole and a Percentage: Word Problems
327,1.3.1.1,Subtracting a Positive Number From a Smaller Positive Number
3720,1.3.1.2,Subtracting a Positive Number From a Negative Number
3679,1.3.1.3,Subtracting a Positive Fraction From a Smaller Fraction
3680,1.3.1.4,Subtracting a Positive Decimal From a Smaller Decimal
329,1.3.1.5,Adding a Positive Number to a Negative Number
328,1.3.1.6,Adding a Negative Number
297,1.3.1.7,Subtracting a Negative Number
524,1.3.1.8,Additive Inverses of Numbers
1131,1.3.1.9,Solving Problems Using Addition and Subtraction of Rational Numbers
2281,1.3.1.10,Absolute Value
298,1.3.2.1,Multiplying Positive Numbers With Negative Numbers
3718,1.3.2.2,Multiplying Negative Numbers
330,1.3.2.3,Dividing With Negative Numbers
4136,1.3.2.4,Equivalent Fractions With Negative Numbers
3719,1.3.2.5,Dividing With Negative Decimals and Fractions
2202,1.3.2.6,Reciprocals of Rational Numbers
299,1.3.2.7,Multiplying and Dividing With Zero
323,1.3.2.8,Fractions of Fractions
1024,1.3.2.9,Solving Problems Using the Four Operations on Rational Numbers
2805,1.3.3.1,"Divisibility of Integers by 2, 5, 10, 4, and 8"
3543,1.3.3.2,"Divisibility of Integers by 3, 9, 6, and 7"
840,1.3.3.3,Prime and Composite Numbers
829,1.3.3.4,Prime Factors
4250,1.3.3.5,The Fundamental Theorem of Arithmetic
811,1.3.3.6,Finding Greatest Common Factors Using Prime Factorization
755,1.3.3.7,Finding Lowest Common Multiples Using Prime Factorization
2558,1.3.3.8,"Natural Numbers, Integers, and Rational Numbers"
2314,1.4.1.1,Introduction to Exponents
2321,1.4.1.2,Evaluating Exponents
3537,1.4.1.3,Evaluating Larger Exponents
2475,1.4.1.6,Evaluating Whole Number Expressions Containing Exponents
2174,1.4.1.7,Squaring Rational Numbers
2195,1.4.1.8,Cubing Rational Numbers
125,1.4.1.9,Exponents With Rational Bases
322,1.4.1.10,The Zeroth Power
652,1.4.1.11,Powers of Negative One
3561,1.4.1.12,Negative Exponents
267,1.4.2.1,The Product Rule for Exponents
1224,1.4.2.3,The Power Rule for Exponents
2012,1.4.2.4,The Power of Product Rule for Exponents
1289,1.4.2.5,The Power of Quotient Rule for Exponents
2561,1.4.3.1,Evaluating Rational Number Expressions Without Exponents
121,1.4.3.2,Evaluating Expressions With Positive Integer Exponents
1987,1.4.3.3,Evaluating Expressions With Integer Exponents
1822,1.4.4.1,The Square Root of a Perfect Square
3552,1.4.4.2,Squaring a Square Root
1819,1.4.4.3,The Cube Root of a Perfect Cube
2204,1.4.4.4,Surds
3709,1.4.4.5,Simplifying Expressions With Surds
589,1.4.4.6,Evaluating Numerical Expressions Containing Radicals
1318,1.4.4.8,Rationalizing Denominators
2607,1.4.5.1,Radicals as Fractional Exponents
1927,1.4.5.2,The Product Rule for Radicals
2240,1.4.5.3,The Quotient Rule for Radicals
63,1.5.1.1,Introduction to Algebraic Expressions
3721,1.5.1.2,Constructing Algebraic Expressions
64,1.5.1.3,Evaluating Linear Expressions
2183,1.5.1.4,Evaluating Rational Expressions
643,1.5.1.5,Identifying Terms in Linear Expressions
645,1.5.1.6,Identifying Coefficients and Constants in Linear Expressions
85,1.5.1.7,The Greatest Common Factor of Two Linear Expressions
644,1.5.2.1,Identifying Like Terms in a Linear Expression
134,1.5.2.2,Collecting Like Terms in a Linear Expression
135,1.5.2.3,Applying the Distributive Law With Linear Expressions
3847,1.5.2.4,The Distributive Law With Three Terms
137,1.5.2.5,Distributing the Negative Sign in a Linear Expression
138,1.5.2.6,Simplifying Linear Expressions Using the Distributive Law
3873,1.5.2.7,Simplifying Linear Expressions When a Group of Terms Is Subtracted
87,1.5.2.9,Factoring Linear Expressions
1412,1.5.3.1,Solving Linear Equations by Trial and Error
65,1.5.3.2,Solving One-Step Addition and Subtraction Equations
40,1.5.3.3,Solving One-Step Multiplication and Division Equations
66,1.5.4.1,Solving Two-Step Equations
67,1.5.4.2,Solving Linear Equations With Fractional Coefficients
2270,1.5.4.3,Solving Linear Equations With Decimal Coefficients
343,1.5.4.4,Solving Linear Equations With Variables on Both Sides
651,1.5.4.5,Solving Linear Equations by Clearing a Rational Expression
1413,1.5.4.6,Solving Linear Equations Using Cross-Multiplication
356,1.5.4.7,Solving Two-Variable Equations
3747,1.5.4.10,Solving Linear Equations With Unknown Coefficients
3752,1.5.4.11,Solving Linear Equations With Unknown Coefficients by Factoring
354,1.5.4.12,Solving Many-Variable Equations
2213,1.5.5.1,Interpreting Linear Expressions
426,1.5.5.2,Modeling With Linear Equations
178,1.5.6.1,Inequalities
2310,1.5.6.2,Compound Inequalities
387,1.5.6.3,Verifying Solutions of Linear Inequalities
38,1.5.6.4,Solving One-Step Linear Inequalities
4021,1.5.6.5,Solving Two-Step Inequalities
4031,1.5.6.6,Representing Solutions to Inequalities on Number Lines
4034,1.5.6.7,Further Solving Linear Inequalities
388,1.5.6.8,Solving Compound Inequalities
239,1.5.6.9,Interval Notation
4028,1.5.6.10,Unbounded Intervals
458,1.5.6.11,Unions of Intervals
347,1.5.6.12,Intersections of Intervals
1576,1.5.6.13,Compound OR Inequalities
350,1.5.6.14,Compound AND Inequalities
430,1.5.7.1,Solving Equations Using the Square Root Method
92,1.6.1.1,The Cartesian Coordinate System
573,1.6.1.2,Distances Between Points in the Coordinate Plane
94,1.6.1.3,Two-Variable Linear Equations and Their Solutions
95,1.6.1.4,Graphing Linear Equations
97,1.6.1.5,Horizontal and Vertical Lines
396,1.6.1.6,Calculating Slopes of Straight Lines
1240,1.6.1.7,Equations of Lines in Slope-Intercept Form
398,1.6.1.8,Properties of Lines Given in Slope-Intercept Form
418,1.6.1.9,Equations of Lines in Point-Slope Form
653,1.6.2.1,Modeling With Linear Equations in Two Variables
1588,1.6.2.2,Analyzing and Interpreting Graphs of Linear Equations
3765,1.6.2.3,Further Modeling With Linear Equations in Two Variables
376,1.7.1.2,The Square Root of a Perfect Square With Algebraic Expressions
381,1.7.1.4,The Cube Root of a Perfect Cube With Algebraic Expressions
2184,1.7.1.8,Evaluating Algebraic Radical Expressions
1297,1.7.2.1,Equivalent Expressions With Fractions
68,1.7.2.2,Simplifying Rational Expressions
423,1.7.2.3,Simplifying Rational Expressions by Factoring
470,1.8.1.1,Introduction to Functions
631,1.8.1.2,Visual Representations of Functions
3821,1.8.1.3,Graphs of Functions
802,1.8.1.4,The Domain of a Function
1888,1.8.1.5,Global Extrema of Functions
2048,1.8.1.6,End Behavior of Functions
754,1.8.1.7,The Range of a Function
3728,1.8.1.8,The Range of a Function: Advanced Cases
2022,1.8.1.9,The Roots of a Function
1628,1.8.1.10,Increasing and Decreasing Functions
165,1.8.1.11,Piecewise Functions
2220,1.8.1.12,Modeling With Linear Functions
6219,1.8.1.13,Constructing Linear Functions
96,1.9.1.1,Absolute Value Expressions
75,1.9.1.2,Rules of Absolute Value
384,1.9.1.4,Absolute Value Equations
4029,1.9.1.5,Further Absolute Value Equations
451,1.9.1.6,Absolute Value Inequalities
71,1.10.1.1,The Product Rule for Exponents With Algebraic Expressions
391,1.10.2.1,Solving Exponential Equations
1153,1.10.3.1,Exponential Functions
1530,1.10.3.8,Graphing Exponential Growth Functions
655,1.11.1.1,Introduction to Polynomials
657,1.11.1.2,The Degree of a Polynomial
1783,1.11.1.3,Simplifying Polynomials
349,1.11.1.4,The Distributive Law for Polynomials
81,1.11.1.5,Adding and Subtracting Polynomials
79,1.11.1.6,"Monomials, Binomials and Trinomials"
371,1.11.1.7,Multiplying Binomials
360,1.11.1.9,Squaring Binomials
2275,1.11.1.11,The Difference of Squares Formula
2181,1.11.2.1,The Greatest Common Factor of Two Monomials
353,1.11.2.2,Factoring Polynomials Using GCFs
352,1.11.2.3,Factoring Perfect Square Trinomials
382,1.11.2.4,Factoring Perfect Square Trinomials With Leading Coefficients
370,1.11.2.5,Factoring Differences of Squares
89,1.11.2.6,Factoring Trinomials
3577,1.11.2.7,Factoring Trinomials Using Common Factors
372,1.11.2.8,Factoring Trinomials With Leading Coefficients
4951,1.11.2.9,Further Factoring Trinomials With Leading Coefficients
1378,1.12.1.1,"Points, Lines, Rays, and Segments"
1379,1.12.1.3,Measures of Segments
1462,1.12.1.4,Congruent Segments
1463,1.12.1.5,Midpoints
1500,1.12.1.6,Collinear Points
2278,1.12.1.7,The Segment Addition Postulate
2172,1.12.2.1,Angles and Measures of Angles
3980,1.12.2.2,Measuring Angles Using a Protractor
1505,1.12.2.3,Sums of Angles
1509,1.12.2.4,"Right, Straight, Full, and Null Angles"
3554,1.12.2.6,Congruent Angles
1404,1.12.4.1,Circles
460,1.12.4.3,The Circumference of a Circle
496,1.13.1.1,Interior Angles of Triangles
1601,1.13.1.3,Classifying Triangles
433,1.13.1.7,The Pythagorean Theorem
1317,1.13.2.1,Polygons
813,2.1.1.1,Introduction to Quadratic Equations
1423,2.1.1.2,Solving Perfect Square Quadratic Equations
1425,2.1.1.3,Perfect Square Quadratic Equations with One or No Solutions
1424,2.1.1.4,The Zero Product Rule for Solving Quadratic Equations
394,2.1.1.5,Solving Quadratic Equations Using a Difference of Squares
393,2.1.1.6,Solving Quadratic Equations with No Constant Term
375,2.1.1.7,Solving Quadratic Equations by Factoring
1422,2.1.1.8,Solving Quadratic Equations with Leading Coefficients by Factoring
450,2.1.1.9,Completing the Square
419,2.1.1.12,Solving Quadratic Equations by Completing the Square
422,2.1.1.14,The Quadratic Formula
425,2.1.1.15,The Discriminant of a Quadratic Equation
453,2.1.2.1,Graphing Elementary Quadratic Functions
117,2.1.2.2,Vertical Reflections of Quadratic Functions
84,2.1.2.3,Graphs of General Quadratic Functions
661,2.1.2.4,Roots of Quadratic Functions
2625,2.2.1.2,The Least Common Multiple of Two Monomials
2626,2.2.1.3,The Least Common Multiple of Two Polynomials
469,2.2.1.4,Determining the Roots of Polynomials
2337,2.2.2.1,Further Factoring of Polynomials Using GCFs
660,2.2.2.2,Factoring Higher-Order Polynomials as a Difference of Squares
428,2.2.2.3,Factoring Cubic Expressions by Grouping
441,2.2.2.4,Factoring Sums and Differences of Cubes
2336,2.2.2.5,Factoring Biquadratic Expressions
728,2.2.3.1,Dividing Polynomials Using Synthetic Division
846,2.2.4.1,The Factor Theorem
2119,2.2.4.3,Factoring Cubic Polynomials Using the Factor Theorem
104,2.2.4.4,Factoring Quartic Polynomials Using the Factor Theorem
847,2.2.4.6,The Remainder Theorem
757,2.2.4.7,The Rational Roots Theorem
2205,2.3.1.1,The Real Number System
14,2.3.2.1,Imaginary Numbers
464,2.3.2.2,Quadratic Equations with Purely Imaginary Solutions
735,2.3.2.3,Complex Numbers
31,2.3.2.4,Adding and Subtracting Complex Numbers
33,2.3.2.5,Multiplying Complex Numbers
895,2.3.2.6,Solving Quadratic Equations With Complex Roots
32,2.3.2.7,The Cyclic Property of the Imaginary Unit
157,2.3.3.1,The Complex Plane
34,2.3.3.2,The Magnitude of a Complex Number
893,2.3.3.3,The Argument of a Complex Number
1985,2.4.1.2,Function Composition
3817,2.4.1.3,Describing Function Composition
2707,2.4.1.4,Local Extrema of Functions
753,2.4.1.6,Introduction to Inverse Functions
756,2.4.1.8,Graphs of Inverse Functions
3734,2.4.1.9,Domain and Range of Inverse Functions
2148,2.4.1.12,Periodic Functions
725,2.4.1.13,Even and Odd Functions
2046,2.4.1.14,Unbounded Behavior of Functions Near a Point
1251,2.4.2.1,Vertical Translations of Functions
1584,2.4.2.2,Horizontal Translations of Functions
1252,2.4.2.3,Vertical Stretches of Functions
1586,2.4.2.4,Horizontal Stretches of Functions
1150,2.4.2.5,Vertical Reflections of Functions
1585,2.4.2.6,Horizontal Reflections of Functions
1254,2.4.2.7,Combining Graph Transformations: Two Operations
634,2.4.2.8,Combining Graph Transformations: Three or More Operations
2841,2.4.2.10,Combining Reflections With Other Graph Transformations
379,2.5.1.1,Converting From Exponential to Logarithmic Form
457,2.5.1.2,Converting From Logarithmic to Exponential Form
378,2.5.1.3,Evaluating Logarithms
818,2.5.1.4,The Natural Logarithm
726,2.5.1.5,The Common Logarithm
1599,2.5.1.6,Simplifying Logarithmic Expressions
1473,2.5.2.1,The Product Rule for Logarithms
1474,2.5.2.2,The Quotient Rule for Logarithms
1475,2.5.2.3,The Power Rule for Logarithms
30,2.5.2.4,Combining the Laws of Logarithms
28,2.5.2.5,The Change of Base Formula for Logarithms
1482,2.5.3.1,Solving Exponential Equations Using Logarithms
870,2.5.3.2,Solving Equations Containing the Exponential Function
1583,2.5.3.3,Solving Exponential Equations With Different Bases
3737,2.5.3.4,Solving Exponential Equations With Different Bases Using Logarithms
226,2.5.4.1,Solving Logarithmic Equations
1551,2.5.4.2,Solving Logarithmic Equations Containing the Natural Logarithm
817,2.5.5.1,Vertical Translations of Exponential Growth Functions
456,2.5.5.2,Vertical Translations of Exponential Decay Functions
1682,2.5.5.3,Vertical Reflections of Exponential Functions
6351,2.5.5.4,Combining Graph Transformations of Exponential Functions
1609,2.5.5.5,Properties of Transformed Exponential Functions
1532,2.5.6.1,Graphing Logarithmic Functions
1707,2.5.6.2,Combining Graph Transformations of Logarithmic Functions
1610,2.5.6.3,Properties of Transformed Logarithmic Functions
1676,2.6.1.1,Simplifying Rational Expressions Using Polynomial Factorization
437,2.6.1.2,Adding and Subtracting Rational Expressions
3739,2.6.1.3,Adding Rational Expressions With No Common Factors in the Denominator
435,2.6.1.4,Multiplying Rational Expressions
436,2.6.1.5,Dividing Rational Expressions
1060,2.6.1.6,Expressing Rational Functions as Sums of Partial Fractions
440,2.6.2.1,Rational Equations With Three Terms
708,2.6.2.2,Advanced Rational Equations
2033,2.6.3.1,Graphing Reciprocal Functions
3735,2.6.3.2,Graph Transformations of Reciprocal Functions
455,2.6.3.3,Combining Graph Transformations of Reciprocal Functions
2271,2.7.1.1,Introduction to Sequences
1226,2.7.1.2,Recursive Sequences
673,2.7.1.4,Sigma Notation
3958,2.7.1.5,Properties of Finite Series
667,2.7.2.1,Arithmetic Sequences
3695,2.7.2.2,Recursive Formulas for Arithmetic Sequences
668,2.7.2.3,The Nth Term of an Arithmetic Sequence
2214,2.7.2.4,Translating Between Explicit and Recursive Formulas for Arithmetic Sequences
669,2.7.2.5,Finding the Common Difference of an Arithmetic Sequence
1346,2.7.2.6,Finding the Nth Term of an Arithmetic Sequence Given Two Terms
672,2.7.2.7,Determining Indexes of Terms in Arithmetic Sequences
679,2.7.3.1,Introduction to Geometric Sequences
1818,2.7.3.2,The Recursive Formula for a Geometric Sequence
680,2.7.3.3,The Nth Term of a Geometric Sequence
2215,2.7.3.4,Translating Between Explicit and Recursive Formulas for Geometric Sequences
2534,2.7.3.5,Finding the Common Ratio of a Geometric Sequence Given Two Terms
685,2.7.3.6,Determining Indexes of Terms in Geometric Sequences
459,2.8.1.5,The Distance Formula
1516,2.8.2.1,Translations of Geometric Figures
1517,2.8.2.2,Rotations of Geometric Figures
1518,2.8.2.4,Reflections of Geometric Figures in the Cartesian Plane
3535,2.8.2.5,Reflections of Figures Across Arbitrary Lines
2226,2.8.2.14,Reflective Symmetry
2227,2.8.2.15,Rotational Symmetry
1597,2.9.1.1,Angles and Sides in Right Triangles
609,2.9.1.2,The Trigonometric Ratios
633,2.9.1.3,Calculating Trigonometric Ratios Using the Pythagorean Theorem
610,2.9.1.5,Calculating Angles in Right Triangles Using Trigonometry
611,2.9.1.6,The Reciprocal Trigonometric Ratios
765,2.9.1.8,Special Trigonometric Ratios
764,2.9.1.10,Introduction to Radians
516,2.9.1.11,Trigonometric Ratios With Radians
1848,2.9.3.1,Angles in the Coordinate Plane
167,2.9.3.2,Negative Angles in the Coordinate Plane
261,2.9.3.3,Coterminal Angles
1456,2.9.3.4,Calculating Reference Angles
112,2.9.3.5,Properties of the Unit Circle in the First Quadrant
204,2.9.3.6,Extending the Trigonometric Ratios Using the Unit Circle
4037,2.9.3.7,Extending the Trigonometric Ratios Using Angles in Radians
3829,2.9.3.9,Extending the Trigonometric Ratios to Large Angles
269,2.9.4.1,Finding Trigonometric Ratios of Quadrantal Angles
3568,2.9.4.2,Trigonometric Ratios of Quadrantal Angles Outside the Standard Range
268,2.9.4.3,Finding Trigonometric Ratios of Special Angles Using the Unit Circle
3766,2.9.4.4,Evaluating Trigonometric Expressions
1844,2.9.4.5,Further Extensions of the Special Trigonometric Ratios
1491,2.9.5.1,Graphing Sine and Cosine
1493,2.9.5.2,Graphing Tangent and Cotangent
3540,2.9.6.1,Describing Properties of the Sine Function
3557,2.9.6.2,Describing Properties of the Cosine Function
206,2.9.7.1,Vertical Translations of Trigonometric Functions
1661,2.9.7.2,Vertical Stretches of Trigonometric Functions
1659,2.9.7.3,Horizontal Translations of Trigonometric Functions
784,2.9.7.4,Horizontal Stretches of Trigonometric Functions
275,2.9.7.5,Combining Graph Transformations of Sine and Cosine
259,2.9.7.9,Graphing Reflections of Trigonometric Functions
2062,2.9.8.1,Properties of Transformed Sine and Cosine Functions
5088,2.9.8.2,Finding Zeros and Extrema of Transformed Sine and Cosine Functions
779,3.1.2.1,Expressing an Arithmetic Series in Sigma Notation
675,3.1.2.2,Finding the Sum of an Arithmetic Series
1016,3.1.3.1,The Sum of a Finite Geometric Series
692,3.1.3.2,The Sum of the First N Terms of a Geometric Series
1017,3.1.3.3,Writing Geometric Series in Sigma Notation
690,3.1.3.4,Sums of Finite Geometric Series Given in Sigma Notation
1088,3.1.4.1,Convergence of Geometric Sequences
3838,3.1.4.2,Further Convergence of Geometric Sequences
981,3.1.4.3,Infinite Series and Partial Sums
982,3.1.4.4,Convergent and Divergent Infinite Series
691,3.1.4.7,Finding the Sum of an Infinite Geometric Series
686,3.1.4.8,Writing an Infinite Geometric Series in Sigma Notation
684,3.1.4.10,Convergence of Geometric Series
1495,3.2.1.1,Solving Elementary Quadratic Inequalities
468,3.2.1.2,Solving Quadratic Inequalities From Graphs
3833,3.2.1.3,Solving Quadratic Inequalities Using the Graphical Method
2982,3.2.1.5,Solving Inequalities Involving Positive and Negative Factors
2855,3.2.1.6,Inequalities Involving Powers of Binomials
2147,3.2.1.7,Solving Polynomial Inequalities Using a Graphical Method
2859,3.2.1.10,Solving Inequalities Involving Exponential Functions and Polynomials
2857,3.2.1.12,Solving Inequalities Involving Exponential Functions
935,3.3.2.1,Introduction to Polar Coordinates
936,3.3.2.2,Converting from Polar Coordinates to Cartesian Coordinates
913,3.5.2.1,Elementary Trigonometric Equations Containing Sine
914,3.5.2.2,Elementary Trigonometric Equations Containing Cosine
915,3.5.2.3,Elementary Trigonometric Equations Containing Tangent
1565,3.5.2.4,Elementary Trigonometric Equations Containing Secant
1566,3.5.2.5,Elementary Trigonometric Equations Containing Cosecant
1567,3.5.2.6,Elementary Trigonometric Equations Containing Cotangent
1258,3.5.2.8,General Solutions of Elementary Trigonometric Equations
1259,3.5.2.9,General Solutions of Trigonometric Equations With Transformed Functions
923,3.5.2.10,Trigonometric Equations Containing Transformed Tangent Functions
203,3.5.3.1,Simplifying Expressions Using Basic Trigonometric Identities
207,3.5.3.2,Simplifying Expressions Using the Pythagorean Identity
205,3.5.3.3,Alternate Forms of the Pythagorean Identity
1454,3.5.3.4,Simplifying Expressions Using the Secant-Tangent Identity
3857,3.5.3.5,Alternate Forms of the Secant-Tangent Identity
1455,3.5.3.6,Simplifying Trigonometric Expressions Using the Cotangent-Cosecant Identity
270,3.5.4.1,The Sum and Difference Formulas for Sine
274,3.5.4.2,The Sum and Difference Formulas for Cosine
1076,3.5.4.3,Writing Sums of Trigonometric Functions in Amplitude-Phase Form
271,3.5.4.4,The Double-Angle Formula for Sine
831,3.5.4.5,The Double-Angle Formula for Cosine
892,3.6.1.1,The Complex Conjugate
905,3.6.1.2,Special Properties of the Complex Conjugate
1647,3.6.1.3,The Complex Conjugate and the Roots of a Quadratic Equation
227,3.6.1.4,Dividing Complex Numbers
696,3.6.1.6,Extending Polynomial Identities to the Complex Numbers
894,3.6.2.1,The Polar Form of a Complex Number
925,3.6.2.2,De Moivre's Theorem
898,3.6.2.3,Euler's Formula
3400,3.6.2.4,The Roots of Unity
4050,3.6.2.5,Properties of Roots of Unity
724,3.6.3.1,The Fundamental Theorem of Algebra for Quadratic Equations
896,3.6.3.2,The Fundamental Theorem of Algebra with Cubic Equations
3653,3.6.3.3,Solving Cubic Equations With Complex Roots
897,3.6.3.4,The Fundamental Theorem of Algebra with Quartic Equations
3657,3.6.3.5,Solving Quartic Equations With Complex Roots
1815,3.7.1.5,Vertical Asymptotes of Rational Functions
2006,3.7.2.1,Continuity of Functions
1691,3.8.2.1,Continuity and Differentiability of Functions
313,3.8.2.3,Global vs. Local Extrema and Critical Points
752,3.8.2.5,Using Differentiation to Calculate Critical Points
1359,3.8.2.6,Determining Intervals on Which a Function Is Increasing or Decreasing
363,3.8.2.9,Intervals of Concavity
3846,3.8.2.10,Relating Concavity to the Second Derivative
621,3.8.2.13,Approximating Functions Using Local Linearity and Linearization
1177,3.8.4.1,Second-Degree Taylor Polynomials
3825,3.8.4.2,Analyzing Second-Degree Taylor Polynomials
1222,3.8.4.3,Third-Degree Taylor Polynomials
3771,3.8.4.4,Higher-Degree Taylor Polynomials
340,3.8.4.5,Maclaurin Series
3826,3.8.4.6,Taylor Series
885,3.8.4.7,Representing Functions as Power Series
884,3.8.4.8,Recognizing Standard Maclaurin Series
1060,3.10.5.1,Expressing Rational Functions as Sums of Partial Fractions
